,Unnamed: 0,name,url,party,state,district,chamber,congress_numbers,start,end,last_name,state_abbreviation,rep_id,last_name_state
409,409,"Handel, Karen C.",https://www.congress.gov/member/karen-handel/H001078,Republican,Georgia,6,House,[115],2017,2019.0,Handel,GA,H001078,Handel (GA)
410,410,"Hanna, Richard L.",https://www.congress.gov/member/richard-hanna/H001051,Republican,New York,22,House,"[113, 114]",2013,2017.0,Hanna,NY,H001051,Hanna (NY)
411,411,"Harder, Josh",https://www.congress.gov/member/josh-harder/H001090,Democratic,California,10,House,[116],2019,inf,Harder,CA,H001090,Harder (CA)
412,412,"Hardy, Cresent",https://www.congress.gov/member/cresent-hardy/H001070,Republican,Nevada,4,House,[114],2015,2017.0,Hardy,NV,H001070,Hardy (NV)
413,413,"Hare, Phil",https://www.congress.gov/member/phil-hare/H001040,Democratic,Illinois,17,House,"[110, 111]",2007,2011.0,Hare,IL,H001040,Hare (IL)
414,414,"Harkin, Tom",https://www.congress.gov/member/thomas-harkin/H000206,Democratic,Iowa,5,House,"[94, 95, 96, 97, 98]",1975,1985.0,Harkin,IA,H000206,Harkin (IA)
415,415,"Harman, Jane",https://www.congress.gov/member/jane-harman/H000213,Democratic,California,36,House,"[107, 108, 109, 110, 111, 112]",2001,2011.0,Harman,CA,H000213,Harman (CA)
416,416,"Harper, Gregg",https://www.congress.gov/member/gregg-harper/H001045,Republican,Mississippi,3,House,"[111, 112, 113, 114, 115]",2009,2019.0,Harper,MS,H001045,Harper (MS)
417,417,"Harris, Andy",https://www.congress.gov/member/andy-harris/H001052,Republican,Maryland,1,House,"[112, 113, 114, 115, 116]",2011,inf,Harris,MD,H001052,Harris (MD)
418,418,"Hartzler, Vicky",https://www.congress.gov/member/vicky-hartzler/H001053,Republican,Missouri,4,House,"[112, 113, 114, 115, 116]",2011,inf,Hartzler,MO,H001053,Hartzler (MO)
419,419,"Hastert, J. Dennis",https://www.congress.gov/member/j-hastert/H000323,Republican,Illinois,14,House,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110]",1987,2007.0,Hastert,IL,H000323,Hastert (IL)
420,420,"Hastings, Alcee L.",https://www.congress.gov/member/alcee-hastings/H000324,Democratic,Florida,20,House,"[113, 114, 115, 116]",2013,inf,Hastings,FL,H000324,Hastings (FL)
421,421,"Hastings, Alcee L.",https://www.congress.gov/member/alcee-hastings/H000324,Democratic,Florida,23,House,"[103, 104, 105, 106, 107, 108, 109, 110, 111, 112]",1993,2013.0,Hastings,FL,H000324,Hastings (FL)
422,422,"Hastings, Doc",https://www.congress.gov/member/doc-hastings/H000329,Republican,Washington,4,House,"[104, 105, 106, 107, 108, 109, 110, 111, 112, 113]",1995,2015.0,Hastings,WA,H000329,Hastings (WA)
423,423,"Hayes, Jahana",https://www.congress.gov/member/jahana-hayes/H001081,Democratic,Connecticut,5,House,[116],2019,inf,Hayes,CT,H001081,Hayes (CT)
424,424,"Hayes, Robin",https://www.congress.gov/member/robin-hayes/H001029,Republican,North Carolina,8,House,"[106, 107, 108, 109, 110]",1999,2009.0,Hayes,NC,H001029,Hayes (NC)
425,425,"Hayworth, Nan A. S.",https://www.congress.gov/member/nan-hayworth/H001054,Republican,New York,19,House,[112],2011,2013.0,Hayworth,NY,H001054,Hayworth (NY)
426,426,"Heck, Denny",https://www.congress.gov/member/denny-heck/H001064,Democratic,Washington,10,House,"[113, 114, 115, 116]",2013,inf,Heck,WA,H001064,Heck (WA)
427,427,"Heck, Joseph J.",https://www.congress.gov/member/joseph-heck/H001055,Republican,Nevada,3,House,"[112, 113, 114]",2011,2017.0,Heck,NV,H001055,Heck (NV)
428,428,"Heinrich, Martin",https://www.congress.gov/member/martin-heinrich/H001046,Democratic,New Mexico,1,House,"[111, 112]",2009,2013.0,Heinrich,NM,H001046,Heinrich (NM)
429,429,"Heller, Dean",https://www.congress.gov/member/dean-heller/H001041,Republican,Nevada,2,House,"[110, 111, 112]",2007,2011.0,Heller,NV,H001041,Heller (NV)
430,430,"Hensarling, Jeb",https://www.congress.gov/member/jeb-hensarling/H001036,Republican,Texas,5,House,"[108, 109, 110, 111, 112, 113, 114, 115]",2003,2019.0,Hensarling,TX,H001036,Hensarling (TX)
431,431,"Herger, Wally",https://www.congress.gov/member/wally-herger/H000528,Republican,California,2,House,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112]",1987,2013.0,Herger,CA,H000528,Herger (CA)
432,432,"Hern, Kevin",https://www.congress.gov/member/kevin-hern/H001082,Republican,Oklahoma,1,House,"[115, 116]",2018,inf,Hern,OK,H001082,Hern (OK)
433,433,"Herrera Beutler, Jaime",https://www.congress.gov/member/jaime-herrera-beutler/H001056,Republican,Washington,3,House,"[112, 113, 114, 115, 116]",2011,inf,Herrera Beutler,WA,H001056,Herrera Beutler (WA)
434,434,"Herseth Sandlin, Stephanie",https://www.congress.gov/member/stephanie-herseth-sandlin/H001037,Democratic,South Dakota,At Large,House,"[108, 109, 110, 111]",2004,2011.0,Herseth Sandlin,SD,H001037,Herseth Sandlin (SD)
435,435,"Hice, Jody B.",https://www.congress.gov/member/jody-hice/H001071,Republican,Georgia,10,House,"[114, 115, 116]",2015,inf,Hice,GA,H001071,Hice (GA)
436,436,"Higgins, Brian",https://www.congress.gov/member/brian-higgins/H001038,Democratic,New York,26,House,"[113, 114, 115, 116]",2013,inf,Higgins,NY,H001038,Higgins (NY)
437,437,"Higgins, Brian",https://www.congress.gov/member/brian-higgins/H001038,Democratic,New York,27,House,"[109, 110, 111, 112]",2005,2013.0,Higgins,NY,H001038,Higgins (NY)
438,438,"Higgins, Clay",https://www.congress.gov/member/clay-higgins/H001077,Republican,Louisiana,3,House,"[115, 116]",2017,inf,Higgins,LA,H001077,Higgins (LA)
439,439,"Hill, Baron P.",https://www.congress.gov/member/baron-hill/H001030,Democratic,Indiana,9,House,"[110, 111]",2007,2011.0,Hill,IN,H001030,Hill (IN)
440,440,"Hill, J. French",https://www.congress.gov/member/j-hill/H001072,Republican,Arkansas,2,House,"[114, 115, 116]",2015,inf,Hill,AR,H001072,Hill (AR)
441,441,"Hill, Katie",https://www.congress.gov/member/katie-hill/H001087,Democratic,California,25,House,[116],2019,2019.0,Hill,CA,H001087,Hill (CA)
